fee_receipt_no,enrollment_id,semester_fee,registration_date,student_name,fee_status
INV-EDUC-00061,ORD-EDUC-EX-00061,"₹ 151,400.00",11-Aug-2026,Client_EDUC_61,paid
INV-EDUC-00062,ORD-EDUC-EX-00062,"₹ 153,865.00",12-Aug-2026,Client_EDUC_62,paid
INV-EDUC-00063,ORD-EDUC-EX-00063,"₹ 156,330.00",13-Aug-2026,Client_EDUC_63,paid
INV-EDUC-00064,ORD-EDUC-EX-00064,"₹ 158,795.00",14-Aug-2026,Client_EDUC_64,paid
INV-EDUC-00065,ORD-EDUC-EX-00065,"₹ 161,260.00",15-Aug-2026,Client_EDUC_65,paid
INV-EDUC-00066,ORD-EDUC-EX-00066,"₹ 163,725.00",16-Aug-2026,Client_EDUC_66,paid
INV-EDUC-00067,ORD-EDUC-EX-00067,"₹ 166,190.00",17-Aug-2026,Client_EDUC_67,paid
INV-EDUC-00068,ORD-EDUC-EX-00068,"₹ 168,655.00",18-Aug-2026,Client_EDUC_68,paid
INV-EDUC-00069,ORD-EDUC-EX-00069,"₹ 171,120.00",19-Aug-2026,Client_EDUC_69,paid
INV-EDUC-00070,ORD-EDUC-EX-00070,"₹ 173,585.00",20-Aug-2026,Client_EDUC_70,paid
INV-EDUC-00071,ORD-EDUC-FEE-00071,"₹ 28,150.00",01-Aug-2026,Client_EDUC_71,paid
INV-EDUC-00072,ORD-EDUC-FEE-00072,"₹ 30,615.00",02-Aug-2026,Client_EDUC_72,paid
INV-EDUC-00073,ORD-EDUC-FEE-00073,"₹ 33,080.00",03-Aug-2026,Client_EDUC_73,paid
INV-EDUC-00074,ORD-EDUC-FEE-00074,"₹ 35,545.00",04-Aug-2026,Client_EDUC_74,paid
INV-EDUC-00075,ORD-EDUC-FEE-00075,"₹ 38,010.00",05-Aug-2026,Client_EDUC_75,paid
INV-EDUC-00076,ORD-EDUC-FEE-00076,"₹ 40,475.00",06-Aug-2026,Client_EDUC_76,paid
INV-EDUC-00077,ORD-EDUC-FEE-00077,"₹ 42,940.00",07-Aug-2026,Client_EDUC_77,paid
INV-EDUC-00078,ORD-EDUC-FEE-00078,"₹ 45,405.00",08-Aug-2026,Client_EDUC_78,paid
INV-EDUC-00079,ORD-EDUC-GST-00079,"₹ 52,800.00",01-Aug-2026,Client_EDUC_79,paid
INV-EDUC-00080,ORD-EDUC-GST-00080,"₹ 55,265.00",02-Aug-2026,Client_EDUC_80,paid
INV-EDUC-00081,ORD-EDUC-GST-00081,"₹ 57,730.00",03-Aug-2026,Client_EDUC_81,paid
INV-EDUC-00082,ORD-EDUC-GST-00082,"₹ 60,195.00",04-Aug-2026,Client_EDUC_82,paid
INV-EDUC-00083,ORD-EDUC-GST-00083,"₹ 62,660.00",05-Aug-2026,Client_EDUC_83,paid
INV-EDUC-00084,ORD-EDUC-TDS-00084,"₹ 77,450.00",01-Aug-2026,Client_EDUC_84,paid
INV-EDUC-00085,ORD-EDUC-TDS-00085,"₹ 79,915.00",02-Aug-2026,Client_EDUC_85,paid
INV-EDUC-00086,ORD-EDUC-TDS-00086,"₹ 82,380.00",03-Aug-2026,Client_EDUC_86,paid
INV-EDUC-00087,ORD-EDUC-AI-00087,"₹ 102,100.00",01-Aug-2026,Client_EDUC_87,paid
INV-EDUC-00088,ORD-EDUC-AI-00088,"₹ 104,565.00",02-Aug-2026,Client_EDUC_88,paid
INV-EDUC-00089,ORD-EDUC-AI-00089,"₹ 107,030.00",03-Aug-2026,Client_EDUC_89,paid
INV-EDUC-00090,ORD-EDUC-AI-00090,"₹ 109,495.00",04-Aug-2026,Client_EDUC_90,paid
INV-EDUC-00091,ORD-EDUC-AI-00091,"₹ 111,960.00",05-Aug-2026,Client_EDUC_91,paid
INV-EDUC-00092,ORD-EDUC-AI-00092,"₹ 114,425.00",06-Aug-2026,Client_EDUC_92,paid
INV-EDUC-00093,ORD-EDUC-EXC-00093,"₹ 126,750.00",01-Aug-2026,Client_EDUC_93,pending_settlement
INV-EDUC-00094,ORD-EDUC-EXC-00094,"₹ 129,215.00",02-Aug-2026,Client_EDUC_94,pending_settlement
INV-EDUC-00095,ORD-EDUC-EXC-00095,"₹ 131,680.00",03-Aug-2026,Client_EDUC_95,refunded
INV-EDUC-00096,ORD-EDUC-EXC-00096,"₹ 134,145.00",04-Aug-2026,Client_EDUC_96,paid
INV-EDUC-00097,ORD-EDUC-EXC-00097,"₹ 136,610.00",05-Aug-2026,Client_EDUC_97,pending_settlement
INV-EDUC-00098,ORD-EDUC-EXC-00098,"₹ 139,075.00",06-Aug-2026,Client_EDUC_98,pending_settlement
INV-EDUC-00099,ORD-EDUC-EXC-00099,"₹ 141,540.00",07-Aug-2026,Client_EDUC_99,refunded
INV-EDUC-00100,ORD-EDUC-EXC-00100,"₹ 144,005.00",08-Aug-2026,Client_EDUC_100,paid
